Text,date,link,year
"Il fallait faire rendre gorge à la Régie de ses emplois créés quand toutes les entreprises publiques contractaient leurs effectifs et de son augmentation de capital de 1,8 milliard de francs alors que les finances demandaient à ses soeurs de rembourser des crédits FDES (Fonds de développement économique et social) avantageux",1987-03-28,https://www.lemonde.fr/archives/article/1987/03/28/en-1987-les-investissements-de-la-ratp-sont-amputes-de-150-millions-de-francs_4053440_1819218.html,1987
" Meilleur second rôle masculin : MICHAEL CAINE (Hannah et ses soeurs, de Woody Allen)",1987-04-01,https://www.lemonde.fr/archives/article/1987/04/01/le-palmares-des-oscars_4054789_1819218.html,1987
"Meilleur second rôle féminin : DIANNE WIEST ("" Hannah et ses soeurs "")",1987-04-01,https://www.lemonde.fr/archives/article/1987/04/01/le-palmares-des-oscars_4054789_1819218.html,1987
" Meilleur scénario (original) : WOODY ALLEN ("" Hannag et ses soeurs "")",1987-04-01,https://www.lemonde.fr/archives/article/1987/04/01/le-palmares-des-oscars_4054789_1819218.html,1987
"Il y a les imaginatifs, comme ce citadin qui propose, à titre de solution de remplacement, "" un tunnel sous le Vercors "", et les charitables comme ce porte-parole de la congrégation des soeurs Sainte-Marthe, à Hostun, dans la Drôme, qui prie les commissaires d'épargner une parcelle sise dans un village voisin",1987-04-08,https://www.lemonde.fr/archives/article/1987/04/08/a-49-deux-fois-deux-voix_4058076_1819218.html,1987
" Mana ne se remet pas de sa splendeur passée, lorsque les soeurs de Saint-Joseph de Cluny, conduites par l'intrépide Anne-Marie Javouhey, établirent ici en 1828 une première colonie, bientôt renforcée par des esclaves libérés importés directement d'Afrique",1987-04-21,https://www.lemonde.fr/archives/article/1987/04/21/jours-tranquilles-a-mana_4052897_1819218.html,1987
"De ce qui fut d'abord une mission, il ne reste dans le bourg que le buste en bronze de la fondatrice, une école catholique et les ruines d'une rhumerie que les soeurs, dit-on, menaient d'une main de maitre",1987-04-21,https://www.lemonde.fr/archives/article/1987/04/21/jours-tranquilles-a-mana_4052897_1819218.html,1987
" Pour l'heure, les soeurs se consacrent entièrement à leurs tâches d'éducatrices",1987-04-21,https://www.lemonde.fr/archives/article/1987/04/21/jours-tranquilles-a-mana_4052897_1819218.html,1987
Il est le seul de ses six frères et soeurs à ne pas en avoir été l'employé,1987-05-03,https://www.lemonde.fr/archives/article/1987/05/03/renaitre-sur-des-cendres-l-incendie-de-l-usine-de-la-schappe-a-saint-rambert-en-bugey-ain-laisse-depuis-six-mois-de-profondes-cicatrices-sociales_4058958_1819218.html,1987
" Nos télévisions se multiplient, mais ce ne sont que des soeurs jumelles",1987-05-12,https://www.lemonde.fr/archives/article/1987/05/12/le-plus-beau-nombril-du-monde-ne-connaitre-que-nous-memes-etait-parfait-quand-le-monde-entier-nous-regardait-mais-le-vent-souffle-par-gil-delannoi_4061711_1819218.html,1987
Elle envie presque ses petites soeurs éparpillées dans les quartiers,1987-05-12,https://www.lemonde.fr/archives/article/1987/05/12/recettes-municipales-les-collectivites-locales-multiplient-les-initiatives-en-faveur-de-la-lecture_4051669_1819218.html,1987
"Ce simple message était glissé dans la poche d'un enfant abandonné avec ses sept frères et soeurs, par M",1987-05-20,https://www.lemonde.fr/archives/article/1987/05/20/huit-enfants-aux-quatre-vents_4055186_1819218.html,1987
", il n'était que juste d'aligner la marine nationale sur le néant de ses soeurs",1987-05-20,https://www.lemonde.fr/archives/article/1987/05/20/madame-se-meurt_4055102_1819218.html,1987
On était forcément soeurs et frères,1987-05-29,https://www.lemonde.fr/archives/article/1987/05/29/entretien-avec-assia-djebar-nos-meres-n-avaient-pas-conscience-du-dehors_4061846_1819218.html,1987
" Quand on écrit, reste-t-on solidaire de ses "" soeurs """,1987-05-29,https://www.lemonde.fr/archives/article/1987/05/29/entretien-avec-assia-djebar-nos-meres-n-avaient-pas-conscience-du-dehors_4061846_1819218.html,1987
"On s'y était fait, à ce tournis, à ce kaléidoscope chatoyant et pas si futile, où le coeur du siècle battait au rythme de quatre soeurs sublimement fantasques, toujours là où il le fallait, sauvant, aux pires heures, d'un caprice, d'un décolleté, les pouvoirs inusables de la séduction, de la course au bonheur",1987-06-05,https://www.lemonde.fr/archives/article/1987/06/05/les-kaleidoscopes-ont-ils-un-sens_4053194_1819218.html,1987
"Les quatre soeurs écossaises au patronyme imprononçable, les O'Shaughnessy, ont anticipé le mouvement grâce aux alliances cosmopolites de leur haute lignée",1987-06-05,https://www.lemonde.fr/archives/article/1987/06/05/les-kaleidoscopes-ont-ils-un-sens_4053194_1819218.html,1987
" En août 1939, Vanessa pose pour Eva Braun dans le nid d'aigle de Berchtesgaden, tandis que le narrateur bavarde avec Victor Serge sur le Boul'Mich', à deux pas de Sartre, et que Jean Prouvost, patron de Paris-Soir, dépêche en URSS l'oncle des soeurs O'Shaughnessy, Simon Finkelstein, bientôt reçu par Molotov et Staline",1987-06-05,https://www.lemonde.fr/archives/article/1987/06/05/les-kaleidoscopes-ont-ils-un-sens_4053194_1819218.html,1987
"Elle est utilisée à nouveau dans le Silence (1962-1963), où Ingrid Thulin et Gunnel Lidblom, venues des Communiants, incarnent deux soeurs, contraintes d'interrompre leur voyage dans un pays inconnu qui semble en état de guerre, pour descendre, dans un palace au luxe désuet",1987-06-07,https://www.lemonde.fr/archives/article/1987/06/07/a-travers-le-miroir-la-trilogie-du-desespoir_4053198_1819218.html,1987
" Les "" sept soeurs "" _ Exxon, Shell, BP, Texaco, Chevron, Mobil et Gulf, _ ces grandes compagnies rivales et complices, ont déjà perdu, depuis les années 60, le contrôle des réserves et la maitrise des prix",1987-06-23,https://www.lemonde.fr/archives/article/1987/06/23/les-nouvelles-soeurs-du-petrole-du-puits-a-la-pompe_4050588_1819218.html,1987
"Pour protester contre le jugement rendu le 23 septembre 1987 par le tribunal ecclésiastique de Lyon, qui n'a pas reconnu la communauté de Petites Soeurs d'Israël comme une congrégation religieuse, Mère Myriam, fondatrice de cette communauté, a commencé le mercredi 30 décembre une grève de la faim",1988-01-02,https://www.lemonde.fr/archives/article/1988/01/02/religions-le-jeune-de-mere-myriam_4075328_1819218.html,1988
